make,model,mileage,fuel-type,first-registration,price
honda,civic,40186,b,06-2020,18888
honda,civic,60800,b,10-2020,19470
honda,civic,45500,b,06-2020,20980
honda,civic,44425,b,08-2020,15350
honda,civic,21150,b,10-2020,40890
honda,civic,30260,b,01-2020,15950
honda,civic,58000,b,11-2020,36990
honda,civic,17883,b,04-2020,22990
honda,civic,53760,b,09-2020,22970
honda,civic,57320,b,05-2020,20960
honda,civic,31100,b,03-2020,22990
honda,civic,15363,b,02-2020,22990
honda,civic,30444,b,04-2020,17909
honda,civic,26616,b,11-2020,17890
honda,civic,21650,b,02-2020,21690
honda,civic,67500,b,12-2020,24800
honda,civic,81745,b,01-2020,17990
honda,civic,23500,b,12-2020,44999
honda,civic,45180,b,10-2020,42969
honda,civic,19500,b,07-2020,44880
honda,civic,30919,b,07-2020,22919
honda,civic,53760,b,09-2020,22970
honda,civic,31100,b,03-2020,22990
honda,civic,17883,b,04-2020,22990
honda,civic,32480,b,02-2020,22990
honda,civic,15363,b,02-2020,22990
honda,civic,67500,b,12-2020,24800
honda,civic,58000,b,11-2020,36990
honda,civic,66759,b,06-2020,37990
honda,civic,21150,b,10-2020,40890
honda,civic,45180,b,10-2020,42969
honda,civic,37290,b,09-2020,43949
honda,civic,19000,b,11-2020,43999
honda,civic,19500,b,07-2020,44880
honda,civic,17050,b,07-2020,44949
honda,civic,23500,b,12-2020,44999
honda,civic,19290,b,10-2020,45999
honda,civic,18050,b,08-2020,45999
honda,civic,16970,b,11-2020,46999
