make,model,mileage,fuel-type,first-registration,price
volkswagen,golf,271768,b,01-2000,1295
volkswagen,golf,73000,b,09-2000,16000
volkswagen,golf,95114,b,06-2006,6999
volkswagen,golf,233000,d,09-2006,3490
volkswagen,golf,139000,b,01-2000,2990
volkswagen,golf,266312,b,06-2003,1999
volkswagen,golf,290786,b,05-2001,1499
volkswagen,golf,178000,b,07-2000,3100
volkswagen,golf,137049,b,03-2007,6495
volkswagen,golf,99501,b,12-2005,25950
volkswagen,golf,265517,b,09-2004,2450
volkswagen,golf,215768,b,09-2009,5250
volkswagen,golf,293603,b,09-2011,6950
volkswagen,golf,297268,b,07-2000,2999
volkswagen,golf,132612,b,06-2009,7999
volkswagen,golf,141169,b,05-2009,8999
volkswagen,golf,131986,b,09-2009,7999
volkswagen,golf,88000,d,11-2001,3600
volkswagen,golf,245539,b,11-2001,3450
volkswagen,golf,149906,b,11-2011,7999
volkswagen,golf,278000,b,08-2001,590
volkswagen,golf,238500,b,04-2000,599
volkswagen,golf,218512,b,08-2000,600
volkswagen,golf,239000,b,03-2000,600
volkswagen,golf,167000,b,11-2001,600
volkswagen,golf,280000,d,09-2002,600
volkswagen,golf,290000,d,08-2000,600
volkswagen,golf,200000,b,10-2002,600
volkswagen,golf,287702,b,02-2002,600
volkswagen,golf,327634,b,11-2000,620
volkswagen,golf,243562,b,04-2000,640
volkswagen,golf,199952,d,01-2003,650
volkswagen,golf,467600,d,08-2003,650
volkswagen,golf,180000,b,08-2001,650
volkswagen,golf,222000,b,10-2002,650
volkswagen,golf,299177,b,03-2003,650
volkswagen,golf,230000,b,02-2004,650
volkswagen,golf,257000,b,10-2000,650
volkswagen,golf,237233,b,01-2003,650
volkswagen,golf,163000,b,05-2001,675
volkswagen,golf,372344,b,08-2003,695
volkswagen,golf,216000,b,04-2003,698
volkswagen,golf,251142,b,09-2001,699
volkswagen,golf,198000,b,01-2003,699
volkswagen,golf,215305,b,12-2001,699
volkswagen,golf,303000,d,09-2002,700
volkswagen,golf,423800,d,03-2001,700
volkswagen,golf,199000,b,02-2000,700
volkswagen,golf,242045,b,04-2002,700
volkswagen,golf,300203,d,09-2000,700
volkswagen,golf,247000,b,03-2001,700
volkswagen,golf,211000,d,11-2000,700
volkswagen,golf,225000,b,04-2002,700
volkswagen,golf,181629,b,07-2000,700
volkswagen,golf,204242,b,10-2001,700
volkswagen,golf,410000,d,11-2000,750
volkswagen,golf,400235,b,12-2001,750
volkswagen,golf,248910,b,07-2000,750
volkswagen,golf,265000,b,10-2000,750
volkswagen,golf,188500,d,05-2005,750
volkswagen,golf,183611,b,04-2004,750
volkswagen,golf,160000,b,06-2004,750
volkswagen,golf,230000,b,04-2002,750
volkswagen,golf,320000,b,06-2004,750
volkswagen,golf,250000,b,07-2007,750
volkswagen,golf,250000,b,07-2007,750
volkswagen,golf,343321,b,07-2001,777
volkswagen,golf,224000,b,12-2003,777
volkswagen,golf,178000,b,08-2000,790
volkswagen,golf,229899,b,11-2005,790
volkswagen,golf,232000,b,06-2001,790
volkswagen,golf,206000,b,10-2000,795
volkswagen,golf,201000,b,03-2001,799
volkswagen,golf,262000,b,04-2001,799
volkswagen,golf,250000,d,10-2002,799
volkswagen,golf,230000,d,01-2007,800
volkswagen,golf,280000,b,06-2002,800
volkswagen,golf,320000,b,04-2000,800
volkswagen,golf,208000,b,03-2002,800
volkswagen,golf,198996,b,01-2000,800
volkswagen,golf,225000,d,03-2007,800
volkswagen,golf,240000,b,07-2005,800
volkswagen,golf,178000,d,10-2002,800
volkswagen,golf,362900,d,02-2004,800
volkswagen,golf,180000,b,03-2001,800
volkswagen,golf,270000,d,06-2004,800
volkswagen,golf,190250,b,05-2002,800
volkswagen,golf,185800,b,05-2000,800
volkswagen,golf,163205,b,02-2002,800
volkswagen,golf,200000,b,08-2002,800
volkswagen,golf,276637,b,01-2001,840
volkswagen,golf,120300,b,04-2000,850
volkswagen,golf,299750,d,03-2003,850
volkswagen,golf,202000,d,05-2002,850
volkswagen,golf,311537,b,02-2001,850
volkswagen,golf,350306,b,09-2000,850
volkswagen,golf,232112,b,08-2000,850
volkswagen,golf,298500,d,05-2001,850
volkswagen,golf,250000,b,09-2002,850
volkswagen,golf,219020,b,01-2001,880
volkswagen,golf,248000,b,03-2004,890
volkswagen,golf,212053,b,09-2004,899
volkswagen,golf,208913,b,11-2007,899
volkswagen,golf,280000,b,02-2002,900
volkswagen,golf,298674,b,07-2001,900
volkswagen,golf,162000,b,12-2001,900
volkswagen,golf,269572,b,11-2001,900
volkswagen,golf,250000,d,01-2000,900
volkswagen,golf,244983,b,04-2003,900
volkswagen,golf,180000,b,11-2010,900
volkswagen,golf,262436,b,08-2001,900
volkswagen,golf,380000,d,05-2000,900
volkswagen,golf,256000,b,09-2002,900
volkswagen,golf,260000,d,03-2001,900
volkswagen,golf,203000,b,05-2003,900
volkswagen,golf,213000,b,01-2002,925
volkswagen,golf,284000,b,10-2001,925
volkswagen,golf,189000,b,08-2002,950
volkswagen,golf,315838,b,07-2003,950
volkswagen,golf,315552,b,12-2001,950
volkswagen,golf,196545,b,12-2002,950
volkswagen,golf,243552,d,03-2001,950
volkswagen,golf,234000,b,03-2005,950
volkswagen,golf,180000,b,05-2000,950
volkswagen,golf,188000,b,05-2003,950
volkswagen,golf,258000,b,03-2002,980
volkswagen,golf,438000,d,12-2000,985
volkswagen,golf,172000,b,08-2000,990
volkswagen,golf,208800,b,04-2001,990
volkswagen,golf,485000,d,01-2002,990
volkswagen,golf,210606,b,02-2001,990
volkswagen,golf,341996,b,06-2004,990
volkswagen,golf,150000,b,03-2003,990
volkswagen,golf,304606,d,09-2004,995
volkswagen,golf,301234,b,03-2000,995
volkswagen,golf,129852,b,01-2004,999
volkswagen,golf,171332,b,08-2000,999
volkswagen,golf,390000,d,12-2000,999
volkswagen,golf,197500,b,01-2002,999
volkswagen,golf,286789,b,03-2004,999
volkswagen,golf,307155,c,12-2002,999
volkswagen,golf,258000,b,09-2002,999
volkswagen,golf,195731,b,05-2008,999
volkswagen,golf,340000,b,11-2006,999
volkswagen,golf,190000,b,02-2002,999
volkswagen,golf,176299,b,02-2006,999
volkswagen,golf,250000,b,03-2006,999
volkswagen,golf,223000,b,01-2002,999
volkswagen,golf,223304,b,02-2000,999
volkswagen,golf,367120,d,04-2000,999
volkswagen,golf,150000,d,12-2004,999
volkswagen,golf,236691,b,06-2004,1000
volkswagen,golf,168000,b,06-2003,1000
volkswagen,golf,128000,b,05-2002,1000
volkswagen,golf,171566,b,10-2000,1000
volkswagen,golf,207500,b,04-2002,1000
volkswagen,golf,283872,b,11-2002,1000
volkswagen,golf,346480,d,09-2001,1000
volkswagen,golf,260000,b,06-2000,1000
volkswagen,golf,236344,b,07-2003,1000
volkswagen,golf,186000,d,10-2000,1000
volkswagen,golf,290000,b,08-2001,1000
volkswagen,golf,300000,d,05-2002,1000
